,งวดงบการเงิน ณ วันที่,หลักทรัพย์,สินทรัพย์รวม,หนี้สินรวม,ส่วนของผู้ถือหุ้น,มูลค่าหุ้นที่เรียกชำระแล้ว,รายได้รวม,กำไร (ขาดทุน) จากกิจกรรมอื่น,กำไรสุทธิ,กำไรต่อหุ้น (บาท),อัตราส่วนทางการเงินที่สำคัญ,ROA (%),ROE (%),อัตรากำไรสุทธิ (%),หลักทรัพย์-ปี,ค่าสถิติสำคัญ ณ วันที่,ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),วันที่ของงบการเงินที่ใช้คำนวณค่าสถิติ,P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน (%),ปี
0,งบปี 2563 31 ธ.ค. 2563,ADVANC,350170.58,274481.21,75563.98,2973.55,173720.31,69.89,27434.36,9.23,,12.02,37.88,15.79,ADVANC-2563,30 ธ.ค. 2563,176.00,523345.56,30 ก.ย. 2563,19.15,7.64,23.04,4.17,2563
1,งบปี 2564 31 ธ.ค. 2564,ADVANC,356221.74,274397.22,81698.75,2973.93,182605.54,-786.32,26922.15,9.05,,10.91,34.24,14.74,ADVANC-2564,30 ธ.ค. 2564,230.00,684002.93,30 ก.ย. 2564,25.13,9.15,25.12,3.01,2564
2,งบปี 2565 31 ธ.ค. 2565,ADVANC,337043.66,251227.31,85688.72,2974.21,186142.92,-72.87,26011.28,8.75,,10.79,31.08,13.98,ADVANC-2565,30 ธ.ค. 2565,195.00,579970.90,30 ก.ย. 2565,22.73,7.43,26.25,3.94,2565
3,งบปี 2566 31 ธ.ค. 2566,ADVANC,454439.22,363761.01,90577.12,2974.21,189720.27,787.74,29086.11,9.78,,10.65,33.0,15.33,ADVANC-2566,28 ธ.ค. 2566,217.00,645403.51,30 ก.ย. 2566,21.92,7.74,28.04,3.54,2566
4,ไตรมาส 1/2567 31 มี.ค. 2567,ADVANC,455211.3,369823.62,85287.08,2974.21,53465.06,43.78,8451.05,2.84,,11.53,37.28,15.81,ADVANC-2567,13 พ.ค. 2567,205.00,609713.00,31 มี.ค. 2567,19.81,7.15,28.68,4.20,2567
5,งบปี 2563 30 ก.ย. 2563,AOT,173558.57,30526.9,142235.58,14285.7,33129.95,145.56,4320.68,0.3,,3.22,2.92,12.97,AOT-2563,30 ธ.ค. 2563,62.25,889284.83,30 ก.ย. 2563,205.82,6.25,9.96,0.31,2563
6,งบปี 2564 30 ก.ย. 2564,AOT,195085.77,81664.39,112343.77,14285.7,7715.73,-51.08,-16322.01,-1.14,,-9.53,-12.82,-212.19,AOT-2564,30 ธ.ค. 2564,61.00,871427.70,30 ก.ย. 2564,-,7.76,7.86,-,2564
7,งบปี 2565 30 ก.ย. 2565,AOT,183812.92,81294.32,101323.97,14285.7,16992.5,258.17,-11087.87,-0.78,,-5.77,-10.38,-64.59,AOT-2565,30 ธ.ค. 2565,75.00,1071427.50,30 ก.ย. 2565,-,10.57,7.09,-,2565
8,งบปี 2566 30 ก.ย. 2566,AOT,195611.09,83432.9,110464.78,14285.7,48435.31,-8.37,8790.87,0.62,,7.48,8.3,18.73,AOT-2566,28 ธ.ค. 2566,59.75,853570.58,30 ก.ย. 2566,97.10,7.73,7.73,0.60,2566
9,ไตรมาส 1/2567 31 ธ.ค. 2566,AOT,194347.57,77584.12,114930.83,14285.7,15769.85,5.32,4563.03,0.32,,10.32,12.01,29.69,AOT-2566,28 ธ.ค. 2566,59.75,853570.58,30 ก.ย. 2566,97.10,7.73,7.73,0.60,2566
10,งบปี 2562 31 ธ.ค. 2562,AWC,109157.86,33496.19,75661.66,32000.00,11522.00,-,1054.23,0.04,,3.14,2.09,9.03,AWC-2562,,,,,,,,,
11,งบปี 2563 31 ธ.ค. 2563,AWC,124466.57,53280.47,71186.09,32000.00,6136.42,-,-1881.23,-0.06,,-0.99,-2.56,-30.66,AWC-2563,30 ธ.ค. 2563,4.56,145920.00,30 ก.ย. 2563,-,2.04,2.24,0.27,2563
12,งบปี 2564 31 ธ.ค. 2564,AWC,138897.29,59690.67,79206.62,32000.0,4395.83,3884.46,861.48,0.03,,1.77,1.15,19.6,AWC-2564,30 ธ.ค. 2564,4.64,148480.00,30 ก.ย. 2564,-,1.90,2.44,-,2564
13,งบปี 2565 31 ธ.ค. 2565,AWC,156453.91,73594.41,82859.51,32000.77,9603.15,4922.66,3853.86,0.12,,4.11,4.76,41.45,AWC-2565,30 ธ.ค. 2565,6.30,201604.86,30 ก.ย. 2565,59.04,2.48,2.54,0.17,2565
14,งบปี 2566 31 ธ.ค. 2566,AWC,172437.29,84961.25,87476.04,32002.34,14035.47,4939.85,5037.86,0.16,,4.89,5.92,36.37,AWC-2566,28 ธ.ค. 2566,3.56,113928.34,30 ก.ย. 2566,22.40,1.33,2.68,0.90,2566
15,งบปี 2562 31 ธ.ค. 2562,BANPU,257588.81,167107.96,72194.58,5161.93,90048.43,4518.34,-552.86,-0.11,,3.59,-0.71,1.5,BANPU-2562,,,,,,,,,
16,งบปี 2563 31 ธ.ค. 2563,BANPU,281647.62,197092.37,62343.95,5074.58,72929.82,7492.41,-1786.32,-0.35,,1.97,-2.66,-0.78,BANPU-2563,30 ธ.ค. 2563,11.00,55820.40,30 ก.ย. 2563,-,0.93,11.83,5.51,2563
17,งบปี 2564 31 ธ.ค. 2564,BANPU,365799.4,262102.27,79277.25,6766.11,134990.1,-5023.44,9851.8,1.59,,8.72,13.91,11.83,BANPU-2564,30 ธ.ค. 2564,10.60,71720.75,30 ก.ย. 2564,12.16,1.04,10.23,2.12,2564
18,งบปี 2565 31 ธ.ค. 2565,BANPU,436794.14,284420.12,117825.82,8454.16,275263.44,-4474.97,40518.97,5.65,,21.07,41.11,20.64,BANPU-2565,30 ธ.ค. 2565,13.70,115822.01,30 ก.ย. 2565,2.62,1.04,16.46,2.34,2565
19,งบปี 2566 31 ธ.ค. 2566,BANPU,444912.59,279689.46,130819.7,10018.9,184087.65,6295.77,5434.06,0.62,,6.85,4.37,6.93,BANPU-2566,28 ธ.ค. 2566,6.80,68128.54,30 ก.ย. 2566,10.73,0.51,13.32,13.78,2566
20,งบปี 2562 31 ธ.ค. 2562,BBL,3216743.1,2788626.79,427751.21,19088.43,158310.64,27704.8,35816.09,18.76,,2.78,8.52,22.87,BBL-2562,,,,,,,,,
21,งบปี 2563 31 ธ.ค. 2563,BBL,3822959.69,3372712.55,449013.69,19088.43,150106.58,13555.57,17180.58,9.0,,1.62,3.92,11.69,BBL-2563,30 ธ.ค. 2563,118.50,226197.88,30 ก.ย. 2563,9.93,0.51,230.25,5.91,2563
22,งบปี 2564 31 ธ.ค. 2564,BBL,4333280.91,3838688.35,492727.07,19088.43,157313.5,19301.83,26507.04,13.89,,1.6,5.63,17.13,BBL-2564,30 ธ.ค. 2564,121.50,231924.41,30 ก.ย. 2564,10.27,0.48,255.08,2.06,2564
23,งบปี 2565 31 ธ.ค. 2565,BBL,4421752.09,3914610.14,505345.98,19088.43,185492.9,3891.05,29305.59,15.35,,1.69,5.87,16.04,BBL-2565,30 ธ.ค. 2565,148.00,282508.75,30 ก.ย. 2565,10.07,0.55,267.22,2.36,2565
24,งบปี 2566 31 ธ.ค. 2566,BBL,4514484.38,3983654.35,528974.77,19088.43,241407.88,5249.2,41635.52,21.81,,2.59,8.05,17.42,BBL-2566,28 ธ.ค. 2566,156.50,298733.91,30 ก.ย. 2566,7.41,0.57,276.67,2.88,2566
25,งบปี 2562 31 ธ.ค. 2562,BDMS,133661.74,46480.11,83813.43,1589.2,83893.22,8641.44,15517.17,0.99,,15.58,20.13,19.08,BDMS-2562,,,,,,,,,
26,งบปี 2563 31 ธ.ค. 2563,BDMS,136050.25,44587.55,87910.18,1589.2,69101.64,2701.99,7214.24,0.45,,8.36,8.4,11.07,BDMS-2563,30 ธ.ค. 2563,20.80,330553.64,30 ก.ย. 2563,46.24,3.98,5.22,2.64,2563
27,งบปี 2564 31 ธ.ค. 2564,BDMS,128453.62,40688.69,83845.19,1589.2,75791.68,21.11,7936.08,0.5,,8.56,9.24,11.2,BDMS-2564,30 ธ.ค. 2564,23.00,365516.04,30 ก.ย. 2564,47.54,4.53,5.08,2.39,2564
28,งบปี 2565 31 ธ.ค. 2565,BDMS,141542.86,47830.07,89879.25,1589.2,93055.58,41.82,12606.2,0.79,,12.68,14.51,14.24,BDMS-2565,30 ธ.ค. 2565,29.00,460868.05,30 ก.ย. 2565,38.00,5.36,5.41,1.55,2565
29,งบปี 2566 31 ธ.ค. 2566,BDMS,143595.95,44723.47,95242.27,1589.2,102327.27,89.39,14375.27,0.9,,13.47,15.53,14.56,BDMS-2566,28 ธ.ค. 2566,27.75,441003.05,30 ก.ย. 2566,32.58,4.89,5.67,2.16,2566
30,งบปี 2562 31 ธ.ค. 2562,BEM,111696.77,72873.59,38780.72,15285.0,20221.19,355.32,5434.82,0.36,,8.29,14.63,26.96,BEM-2562,,,,,,,,,
31,งบปี 2563 31 ธ.ค. 2563,BEM,113615.76,75582.03,37991.4,15285.0,14316.16,6.41,2051.09,0.13,,4.04,5.34,14.35,BEM-2563,30 ธ.ค. 2563,8.30,126865.50,30 ก.ย. 2563,63.34,3.25,2.55,1.81,2563
32,งบปี 2564 31 ธ.ค. 2564,BEM,115088.50,77389.67,37697.28,15285.00,11481.59,-,1010.10,0.07,,2.91,2.67,8.81,BEM-2564,30 ธ.ค. 2564,8.45,129158.25,30 ก.ย. 2564,109.11,3.41,2.48,1.18,2564
33,งบปี 2565 31 ธ.ค. 2565,BEM,114128.19,76864.62,37261.94,15285.00,14801.47,-,2436.18,0.16,,4.53,6.50,16.46,BEM-2565,30 ธ.ค. 2565,9.80,149793.00,30 ก.ย. 2565,67.20,3.97,2.47,0.82,2565
34,งบปี 2566 31 ธ.ค. 2566,BEM,112495.87,74831.55,37662.64,15285.00,17138.72,-,3478.65,0.23,,5.81,9.29,20.30,BEM-2566,28 ธ.ค. 2566,7.95,121515.75,30 ก.ย. 2566,37.70,3.31,2.40,1.51,2566
35,งบปี 2562 31 ธ.ค. 2562,BGRIM,121692.8,83015.54,28144.4,5213.8,44421.39,238.9,2331.15,0.88,,6.16,9.84,8.95,BGRIM-2562,,,,,,,,,
36,งบปี 2563 31 ธ.ค. 2563,BGRIM,130695.88,91391.8,27470.27,5213.8,44337.67,-275.61,2174.76,0.68,,5.69,7.82,8.47,BGRIM-2563,30 ธ.ค. 2563,48.50,126434.65,30 ก.ย. 2563,62.96,4.65,10.43,0.76,2563
37,งบปี 2564 31 ธ.ค. 2564,BGRIM,149197.56,108382.05,29471.16,5213.8,46816.24,800.15,2275.7,0.72,,5.72,7.99,7.3,BGRIM-2564,30 ธ.ค. 2564,40.50,105579.45,30 ก.ย. 2564,39.74,3.59,11.28,1.11,2564
38,งบปี 2565 31 ธ.ค. 2565,BGRIM,170650.72,128483.05,29727.56,5213.8,63247.16,-91.3,-1244.08,-0.63,,2.4,-4.2,-1.42,BGRIM-2565,30 ธ.ค. 2565,39.75,103624.28,30 ก.ย. 2565,-,3.29,12.09,1.06,2565
39,งบปี 2566 31 ธ.ค. 2566,BGRIM,177036.31,124333.56,38128.07,5213.8,58228.53,132.61,1884.6,0.44,,5.26,5.55,6.33,BGRIM-2566,28 ธ.ค. 2566,27.25,71038.03,30 ก.ย. 2566,81.05,1.81,15.05,0.24,2566
40,งบปี 2563 31 ธ.ค. 2563,BH,24221.67,5385.05,18531.53,795.77,12567.83,2.32,1204.14,1.54,,5.95,6.25,9.72,BH-2563,30 ธ.ค. 2563,120.00,95350.28,30 ก.ย. 2563,49.81,5.18,23.15,2.59,2563
41,งบปี 2564 31 ธ.ค. 2564,BH,20856.8,3238.87,17286.12,795.77,12673.3,-14.33,1215.68,1.53,,6.99,6.79,9.78,BH-2564,30 ธ.ค. 2564,141.00,112036.58,30 ก.ย. 2564,144.49,6.75,20.88,2.27,2564
42,งบปี 2565 31 ธ.ค. 2565,BH,24258.81,4253.49,19705.5,795.77,20953.49,-3.78,4938.22,6.21,,26.83,26.7,23.75,BH-2565,30 ธ.ค. 2565,212.00,168515.78,30 ก.ย. 2565,42.13,9.33,22.72,1.51,2565
43,งบปี 2566 31 ธ.ค. 2566,BH,29212.11,5114.32,23801.13,795.77,25687.87,27.16,7006.45,8.81,,32.32,32.21,27.46,BH-2566,28 ธ.ค. 2566,222.00,176464.68,30 ก.ย. 2566,25.86,8.01,27.71,1.58,2566
44,ไตรมาส 1/2567 31 มี.ค. 2567,BH,31196.22,5064.37,25820.84,795.77,6627.34,9.66,1984.84,2.5,,31.93,31.46,30.17,BH-2567,13 พ.ค. 2567,258.00,205088.31,31 มี.ค. 2567,27.71,7.95,32.45,1.74,2567
45,งบปี 2563 31 มี.ค. 2563,BTS,173100.48,105854.89,54923.01,52617.18,38680.65,5593.44,8161.75,0.65,,7.28,17.43,22.8,BTS-2563,30 ธ.ค. 2563,9.30,122397.20,30 ก.ย. 2563,17.00,2.40,3.88,5.16,2563
46,งบปี 2564 31 มี.ค. 2564,BTS,212062.43,136025.07,60161.68,52644.52,42379.1,-1664.42,4576.27,0.35,,5.09,7.95,12.65,BTS-2564,30 ธ.ค. 2564,9.35,123085.73,30 ก.ย. 2564,23.11,2.06,4.53,3.31,2564
47,งบปี 2565 31 มี.ค. 2565,BTS,255866.57,169739.04,62062.84,52657.91,31194.5,-131.44,3825.58,0.29,,3.55,6.26,12.44,BTS-2565,30 ธ.ค. 2565,8.40,110608.16,30 ก.ย. 2565,38.45,1.81,4.65,3.69,2565
48,งบปี 2566 31 มี.ค. 2566,BTS,270925.96,189604.06,56073.41,52670.55,24138.72,350.1,1836.48,0.14,,2.65,3.11,6.72,BTS-2566,28 ธ.ค. 2566,7.25,95465.38,30 ก.ย. 2566,306.93,1.79,4.06,4.28,2566
49,งบ 9 เดือน2567 31 ธ.ค. 2566,BTS,273550.0,206227.94,46942.57,52670.55,19675.97,-1994.91,-5277.09,-0.4,,-0.11,-10.14,-35.07,BTS-2566,28 ธ.ค. 2566,7.25,95465.38,30 ก.ย. 2566,306.93,1.79,4.06,4.28,2566
50,งบปี 2563 31 ธ.ค. 2563,CBG,17086.68,6929.39,9956.01,1000.00,17386.29,-,3525.03,3.53,,27.20,38.06,20.47,CBG-2563,30 ธ.ค. 2563,114.50,114500.00,30 ก.ย. 2563,33.14,12.60,9.09,1.48,2563
51,งบปี 2564 31 ธ.ค. 2564,CBG,19185.65,9074.86,10209.29,1000.00,17570.33,-,2881.00,2.88,,18.99,28.57,16.18,CBG-2564,30 ธ.ค. 2564,119.50,119500.00,30 ก.ย. 2564,38.04,12.44,9.61,2.01,2564
52,งบปี 2565 31 ธ.ค. 2565,CBG,20038.93,9473.89,10682.56,1000.0,19454.81,4.56,2286.2,2.29,,14.27,21.89,11.57,CBG-2565,30 ธ.ค. 2565,96.75,96750.00,30 ก.ย. 2565,38.84,9.41,10.28,1.96,2565
53,งบปี 2566 31 ธ.ค. 2566,CBG,19543.5,8231.01,11490.79,1000.0,19045.71,8.5,1924.24,1.92,,12.23,17.36,9.98,CBG-2566,28 ธ.ค. 2566,82.50,82500.00,30 ก.ย. 2566,49.02,7.61,10.85,1.82,2566
54,ไตรมาส 1/2567 31 มี.ค. 2567,CBG,18624.97,6667.13,12138.72,1000.0,4976.42,2.79,628.23,0.63,,15.14,19.82,12.5,CBG-2567,13 พ.ค. 2567,71.25,71250.00,31 มี.ค. 2567,31.13,5.87,12.14,1.26,2567
55,งบปี 2562 31 ธ.ค. 2562,CENTEL,27589.6,13445.98,13670.32,1350.0,21291.05,29.4,1744.24,1.29,,8.53,13.13,8.5,CENTEL-2562,,,,,,,,,
56,งบปี 2563 31 ธ.ค. 2563,CENTEL,35350.14,25134.59,9922.77,1350.0,13249.45,-20.94,-2775.11,-2.06,,-8.47,-23.52,-21.87,CENTEL-2563,30 ธ.ค. 2563,23.70,31995.00,30 ก.ย. 2563,-,2.81,8.43,-,2563
57,งบปี 2564 31 ธ.ค. 2564,CENTEL,48592.54,30160.85,18076.41,1350.0,11635.4,-64.08,-1733.21,-1.28,,-2.66,-12.38,-15.1,CENTEL-2564,30 ธ.ค. 2564,31.25,42187.50,30 ก.ย. 2564,-,2.35,13.32,-,2564
58,งบปี 2565 31 ธ.ค. 2565,CENTEL,48165.59,29274.86,18518.13,1350.0,18215.75,-43.57,398.08,0.29,,2.64,2.18,2.28,CENTEL-2565,30 ธ.ค. 2565,50.25,67837.50,30 ก.ย. 2565,1288.68,3.68,13.67,-,2565
59,งบปี 2566 31 ธ.ค. 2566,CENTEL,54203.61,34185.63,19675.06,1350.0,22547.24,-62.2,1248.1,0.92,,5.27,6.54,5.57,CENTEL-2566,28 ธ.ค. 2566,43.75,59062.50,30 ก.ย. 2566,44.70,3.01,14.56,-,2566
60,งบปี 2562 31 ธ.ค. 2562,COM7,9159.67,5783.52,3373.79,300.0,33390.19,37.87,1216.32,1.01,,18.59,39.59,3.64,COM7-2562,,,,,,,,,
61,งบปี 2563 31 ธ.ค. 2563,COM7,9206.72,5335.89,3852.29,300.0,37352.9,105.3,1490.68,1.24,,20.43,41.26,4.0,COM7-2563,30 ธ.ค. 2563,39.00,46800.00,30 ก.ย. 2563,35.46,14.17,2.75,2.05,2563
62,งบปี 2564 31 ธ.ค. 2564,COM7,15965.74,10664.99,5284.86,300.0,51154.66,118.4,2630.39,2.19,,25.67,57.58,5.14,COM7-2564,30 ธ.ค. 2564,81.75,98100.00,30 ก.ย. 2564,43.04,22.42,3.65,1.22,2564
63,งบปี 2565 31 ธ.ค. 2565,COM7,19162.45,11910.55,7154.47,600.00,63025.62,-,3037.71,1.27,,22.41,48.84,4.86,COM7-2565,30 ธ.ค. 2565,34.00,81599.94,30 ก.ย. 2565,26.72,12.78,2.66,1.48,2565
64,งบปี 2566 31 ธ.ค. 2566,COM7,22976.25,14788.64,8046.76,600.0,69641.67,67.37,2857.17,1.19,,17.82,37.59,4.21,COM7-2566,28 ธ.ค. 2566,23.80,57119.96,30 ก.ย. 2566,18.32,7.58,3.14,3.17,2566
65,งบปี 2563 31 ธ.ค. 2563,CPALL,523354.33,411759.3,96758.74,8983.1,546364.02,162.56,16102.42,1.68,,6.18,16.91,3.02,CPALL-2563,30 ธ.ค. 2563,58.25,523265.65,30 ก.ย. 2563,27.99,5.62,10.36,2.15,2563
66,งบปี 2564 31 ธ.ค. 2564,CPALL,931892.56,639085.34,104134.13,8983.1,587189.76,6895.02,12985.48,1.33,,3.47,12.93,2.05,CPALL-2564,30 ธ.ค. 2564,59.00,530002.98,30 ก.ย. 2564,53.78,5.52,10.69,1.53,2564
67,งบปี 2565 31 ธ.ค. 2565,CPALL,924061.49,633760.19,100724.2,8983.1,852605.22,822.11,13271.71,1.39,,3.98,12.96,1.9,CPALL-2565,30 ธ.ค. 2565,68.25,613096.67,30 ก.ย. 2565,36.41,6.22,10.98,0.88,2565
68,งบปี 2566 31 ธ.ค. 2566,CPALL,926491.19,624896.08,110995.45,8983.1,920841.35,1091.98,18482.13,2.01,,4.65,17.46,2.37,CPALL-2566,28 ธ.ค. 2566,56.00,503053.68,30 ก.ย. 2566,31.20,4.71,11.89,1.34,2566
69,ไตรมาส 1/2567 31 มี.ค. 2567,CPALL,921360.83,613021.05,118169.37,8983.1,241008.84,471.46,6319.4,0.69,,5.0,18.55,3.03,CPALL-2567,13 พ.ค. 2567,60.50,543477.63,31 มี.ค. 2567,26.28,4.60,13.15,1.65,2567
70,งบปี 2562 31 ธ.ค. 2562,CPF,634050.56,415178.17,168275.26,8611.24,536775.52,16992.9,18455.81,2.18,,6.87,11.06,4.49,CPF-2562,,,,,,,,,
71,งบปี 2563 31 ธ.ค. 2563,CPF,761719.09,499540.52,191936.79,8611.24,595011.1,21974.32,26022.39,3.14,,10.3,14.45,7.41,CPF-2563,30 ธ.ค. 2563,26.75,230350.73,30 ก.ย. 2563,9.53,1.17,22.79,2.68,2563
72,งบปี 2564 31 ธ.ค. 2564,CPF,842680.62,555543.77,215066.99,8611.24,517584.4,13160.64,13028.26,1.56,,4.15,6.4,2.72,CPF-2564,30 ธ.ค. 2564,25.50,219586.68,30 ก.ย. 2564,16.86,1.02,24.94,3.94,2564
73,งบปี 2565 31 ธ.ค. 2565,CPF,926987.18,627143.64,256052.65,8611.24,619017.57,9567.75,13969.55,1.69,,4.61,5.93,2.33,CPF-2565,30 ธ.ค. 2565,24.80,213558.81,30 ก.ย. 2565,11.01,0.81,30.74,2.63,2565
74,งบปี 2566 31 ธ.ค. 2566,CPF,887217.85,602184.76,239416.23,8413.57,590786.78,14216.43,-5207.35,-0.75,,2.6,-2.1,-0.43,CPF-2566,28 ธ.ค. 2566,19.60,164905.94,30 ก.ย. 2566,-,0.68,28.62,3.89,2566
75,งบปี 2563 31 ธ.ค. 2563,CPN,221773.51,144650.21,68790.05,2244.0,33161.11,1041.59,9557.1,2.13,,6.96,13.56,29.0,CPN-2563,30 ธ.ค. 2563,47.75,214302.00,30 ก.ย. 2563,19.04,3.22,14.84,1.68,2563
76,งบปี 2564 31 ธ.ค. 2564,CPN,263420.84,181345.65,73102.18,2244.0,30397.53,703.96,7148.45,1.59,,4.46,10.08,23.78,CPN-2564,30 ธ.ค. 2564,56.50,253572.00,30 ก.ย. 2564,34.37,3.54,15.97,1.24,2564
77,งบปี 2565 31 ธ.ค. 2565,CPN,272691.93,183071.74,81474.94,2244.0,38707.0,1559.58,10759.89,2.4,,5.81,13.92,28.09,CPN-2565,30 ธ.ค. 2565,71.00,318648.00,30 ก.ย. 2565,32.49,4.02,17.66,0.85,2565
78,งบปี 2566 31 ธ.ค. 2566,CPN,279872.72,179290.99,92272.9,2244.0,48336.84,2133.13,15061.62,3.36,,7.71,17.34,31.51,CPN-2566,28 ธ.ค. 2566,70.00,314160.00,30 ก.ย. 2566,22.62,3.55,19.72,1.64,2566
79,ไตรมาส 1/2567 31 มี.ค. 2567,CPN,293552.31,188597.65,96617.13,2244.0,12703.09,595.75,4154.17,0.93,,7.96,17.61,33.12,CPN-2567,13 พ.ค. 2567,63.25,283866.00,31 ธ.ค. 2566,18.85,3.08,20.56,2.85,2567
