,งวดงบการเงิน ณ วันที่,หลักทรัพย์,สินทรัพย์รวม,หนี้สินรวม,ส่วนของผู้ถือหุ้น,มูลค่าหุ้นที่เรียกชำระแล้ว,รายได้รวม,กำไร (ขาดทุน) จากกิจกรรมอื่น,กำไรสุทธิ,กำไรต่อหุ้น (บาท),อัตราส่วนทางการเงินที่สำคัญ,ROA (%),ROE (%),อัตรากำไรสุทธิ (%),หลักทรัพย์-ปี,ค่าสถิติสำคัญ ณ วันที่,ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),วันที่ของงบการเงินที่ใช้คำนวณค่าสถิติ,P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน (%),ปี
161,งบปี 2564 31 ธ.ค. 2564,MTC,98389.84,73521.34,24868.5,2120.0,16018.74,19.51,4944.55,2.33,,9.49,21.71,30.87,MTC-2564,30 ธ.ค. 2564,58.75,124550.00,30 ก.ย. 2564,23.89,5.24,11.20,0.63,2564
162,งบปี 2565 31 ธ.ค. 2565,MTC,128066.2,98975.6,29090.6,2120.0,20068.49,-393.68,5093.09,2.4,,8.1,18.88,25.38,MTC-2565,30 ธ.ค. 2565,38.00,80560.00,30 ก.ย. 2565,15.92,2.88,13.21,0.97,2565
163,งบปี 2566 31 ธ.ค. 2566,MTC,150155.95,118239.15,31916.80,2120.00,24526.18,-,4906.47,2.31,,7.18,16.08,20.01,MTC-2566,28 ธ.ค. 2566,45.00,95400.00,30 ก.ย. 2566,20.35,3.11,14.45,2.11,2566
164,ไตรมาส 1/2567 31 มี.ค. 2567,MTC,153163.27,119871.85,33291.41,2120.0,6630.56,-275.83,1389.38,0.66,,7.47,16.48,20.95,MTC-2567,13 พ.ค. 2567,47.25,100170.00,31 มี.ค. 2567,19.17,3.01,15.70,0.44,2567
165,งบปี 2563 31 ธ.ค. 2563,OR,144979.3,107063.34,37823.44,90000.0,432848.96,108.31,8791.07,0.98,,8.09,22.97,2.03,OR-2563,,,,,,,,,
166,งบปี 2564 31 ธ.ค. 2564,OR,207658.88,107786.68,99817.78,120000.0,515279.67,837.68,11474.03,0.99,,8.76,16.67,2.23,OR-2564,30 ธ.ค. 2564,27.00,324000.00,30 ก.ย. 2564,26.90,3.35,8.07,0.36,2564
167,งบปี 2565 31 ธ.ค. 2565,OR,225504.39,121743.57,103701.08,120000.0,793418.24,534.33,10370.4,0.86,,6.54,10.19,1.31,OR-2565,30 ธ.ค. 2565,23.80,285600.00,30 ก.ย. 2565,21.21,2.71,8.77,1.93,2565
168,งบปี 2566 31 ธ.ค. 2566,OR,220235.59,110727.81,109442.85,120000.0,774423.18,546.59,11094.07,0.92,,6.69,10.41,1.43,OR-2566,28 ธ.ค. 2566,19.10,229200.00,30 ก.ย. 2566,22.56,2.08,9.19,2.62,2566
169,ไตรมาส 1/2567 31 มี.ค. 2567,OR,221327.96,107395.38,113868.26,120000.0,179120.58,453.13,3723.2,0.31,,7.28,10.74,2.08,OR-2567,13 พ.ค. 2567,18.30,219600.00,31 มี.ค. 2567,18.54,1.93,9.49,2.84,2567
170,งบปี 2562 31 ธ.ค. 2562,OSP,24323.87,6300.72,17871.31,3003.75,26151.32,199.53,3259.01,1.08,,16.74,18.13,12.5,OSP-2562,,,,,,,,,
171,งบปี 2563 31 ธ.ค. 2563,OSP,25855.48,6526.41,19224.1,3003.75,26129.08,225.31,3504.31,1.17,,16.3,18.89,13.15,OSP-2563,30 ธ.ค. 2563,35.50,106633.13,30 ก.ย. 2563,30.67,5.76,6.16,2.82,2563
172,งบปี 2564 31 ธ.ค. 2564,OSP,27141.61,7237.81,19884.37,3003.75,27277.96,263.41,3254.92,1.08,,14.88,16.65,11.68,OSP-2564,30 ธ.ค. 2564,34.25,102878.44,30 ก.ย. 2564,31.61,5.39,6.35,3.21,2564
173,งบปี 2565 31 ธ.ค. 2565,OSP,26153.78,7698.81,18463.74,3003.75,27481.87,314.89,1933.77,0.64,,8.94,10.09,7.0,OSP-2565,30 ธ.ค. 2565,28.25,84855.94,30 ก.ย. 2565,34.66,4.71,5.99,3.89,2565
174,งบปี 2566 31 ธ.ค. 2566,OSP,24401.98,7892.09,16325.59,3003.75,26644.3,145.55,2402.1,0.8,,11.72,13.81,9.09,OSP-2566,28 ธ.ค. 2566,22.00,66082.50,30 ก.ย. 2566,28.66,4.14,5.32,4.09,2566
175,งบปี 2562 31 ธ.ค. 2562,PTT,2484438.68,1183399.06,878604.11,28563.0,2239718.62,21320.82,92950.6,3.2,,7.56,10.6,5.45,PTT-2562,,,,,,,,,
176,งบปี 2563 31 ธ.ค. 2563,PTT,2544182.88,1258337.79,882040.4,28563.0,1633977.16,15713.74,37765.81,1.32,,3.72,4.29,2.44,PTT-2563,30 ธ.ค. 2563,42.50,1213927.34,30 ก.ย. 2563,28.86,1.38,30.73,4.71,2563
177,งบปี 2564 31 ธ.ค. 2564,PTT,3078018.83,1605079.11,1006696.22,28563.0,2287758.51,-29416.61,108363.41,3.79,,8.82,11.47,6.65,PTT-2564,30 ธ.ค. 2564,38.00,1085393.86,30 ก.ย. 2564,11.55,1.11,34.26,2.63,2564
178,งบปี 2565 31 ธ.ค. 2565,PTT,3415632.29,1881939.53,1052590.88,28563.0,3391622.87,-63512.46,91174.86,3.2,,7.69,8.85,3.6,PTT-2565,30 ธ.ค. 2565,33.25,949719.63,30 ก.ย. 2565,9.42,0.88,37.64,6.02,2565
179,งบปี 2566 31 ธ.ค. 2566,PTT,3460461.9,1835486.49,1121197.88,28563.0,3185256.08,12103.41,112023.88,3.92,,8.2,10.31,4.87,PTT-2566,28 ธ.ค. 2566,35.75,1021127.12,30 ก.ย. 2566,10.51,0.91,39.34,5.59,2566
180,งบปี 2563 31 ธ.ค. 2563,PTTEP,675637.1,321226.21,354410.88,3969.99,166599.74,2125.64,22664.01,5.65,,7.34,6.37,13.6,PTTEP-2563,30 ธ.ค. 2563,98.25,390051.07,30 ก.ย. 2563,12.28,1.05,93.31,6.11,2563
181,งบปี 2564 31 ธ.ค. 2564,PTTEP,783535.67,368185.92,415349.75,3969.99,234631.13,-8087.13,38863.6,9.7,,11.91,10.1,16.56,PTTEP-2564,30 ธ.ค. 2564,118.00,468458.28,30 ก.ย. 2564,15.24,1.14,103.12,3.60,2564
182,งบปี 2565 31 ธ.ค. 2565,PTTEP,869864.32,402743.72,467120.61,3969.99,339901.86,-8499.23,70901.34,17.94,,18.32,16.07,20.86,PTTEP-2565,30 ธ.ค. 2565,176.50,700702.42,30 ก.ย. 2565,10.63,1.42,124.71,2.83,2565
183,งบปี 2566 31 ธ.ค. 2566,PTTEP,902820.93,403378.12,499326.5,3969.99,313590.65,1221.28,76706.39,18.89,,17.0,15.87,24.46,PTTEP-2566,28 ธ.ค. 2566,149.50,593512.82,30 ก.ย. 2566,8.02,1.15,129.74,6.19,2566
184,ไตรมาส 1/2567 31 มี.ค. 2567,PTTEP,990676.66,438771.08,551690.72,3969.99,78812.18,-139.86,18682.82,4.71,,15.81,14.75,23.7,PTTEP-2567,13 พ.ค. 2567,154.00,611377.75,31 มี.ค. 2567,8.03,1.11,138.97,6.17,2567
185,งบปี 2562 31 ธ.ค. 2562,PTTGC,452514.39,158919.04,285830.17,45088.49,415160.4,7813.13,11682.08,2.59,,3.5,4.02,2.97,PTTGC-2562,,,,,,,,,
186,งบปี 2563 31 ธ.ค. 2563,PTTGC,489382.65,200388.69,281015.11,45088.49,331571.29,4144.26,199.61,0.04,,0.86,0.07,0.2,PTTGC-2563,30 ธ.ค. 2563,58.50,263767.67,30 ก.ย. 2563,-,0.96,61.17,3.43,2563
187,งบปี 2564 31 ธ.ค. 2564,PTTGC,754115.49,426512.33,318241.84,45088.49,491490.37,635.51,44982.39,10.01,,9.44,15.01,9.27,PTTGC-2564,30 ธ.ค. 2564,58.75,264894.89,30 ก.ย. 2564,5.50,0.85,69.48,1.69,2564
188,งบปี 2565 31 ธ.ค. 2565,PTTGC,719965.49,421137.78,291300.01,45088.49,687899.45,-19026.1,-8752.21,-1.94,,-0.01,-2.87,-1.11,PTTGC-2565,30 ธ.ค. 2565,47.25,213043.12,30 ก.ย. 2565,-,0.73,64.91,7.92,2565
189,งบปี 2566 31 ธ.ค. 2566,PTTGC,719005.0,422823.89,288894.52,45088.49,632568.88,-223.34,999.13,0.22,,1.94,0.34,0.14,PTTGC-2566,28 ธ.ค. 2566,38.50,173590.69,30 ก.ย. 2566,-,0.61,63.37,2.60,2566
190,งบปี 2562 31 ธ.ค. 2562,RATCH,100229.43,40815.5,59413.27,14500.0,39251.7,3835.9,5963.28,4.11,,8.2,9.99,15.19,RATCH-2562,,,,,,,,,
191,งบปี 2563 31 ธ.ค. 2563,RATCH,112132.25,51610.68,60520.89,14500.0,34921.65,4774.56,6286.68,4.34,,7.41,10.48,18.0,RATCH-2563,30 ธ.ค. 2563,53.00,76850.00,30 ก.ย. 2563,15.18,1.28,41.37,4.53,2563
192,งบปี 2564 31 ธ.ค. 2564,RATCH,154855.31,77045.76,70289.71,14500.0,38213.22,6429.86,7772.02,5.36,,7.36,11.88,20.36,RATCH-2564,30 ธ.ค. 2564,45.00,65250.00,30 ก.ย. 2564,8.39,0.96,46.96,5.33,2564
193,งบปี 2565 31 ธ.ค. 2565,RATCH,229578.28,122175.01,98028.61,21750.0,75735.85,5919.65,5782.07,3.15,,4.99,6.87,7.49,RATCH-2565,30 ธ.ค. 2565,42.75,92981.25,30 ก.ย. 2565,11.41,0.87,49.16,3.90,2565
194,งบปี 2566 31 ธ.ค. 2566,RATCH,213478.95,106345.49,97997.38,21750.0,46832.93,4741.31,5167.25,2.38,,4.87,5.27,11.7,RATCH-2566,28 ธ.ค. 2566,31.50,68512.50,30 ก.ย. 2566,15.18,0.66,47.87,5.08,2566
195,งบปี 2562 31 ธ.ค. 2562,SAWAD,45461.61,25269.90,18388.37,1336.25,9793.26,-,3756.49,2.85,,12.56,20.43,40.12,SAWAD-2562,,,,,,,,,
196,งบปี 2563 31 ธ.ค. 2563,SAWAD,52007.37,27937.49,22084.87,1373.15,10993.03,-,4508.33,3.32,,14.13,22.28,43.58,SAWAD-2563,30 ธ.ค. 2563,65.75,90284.77,30 ก.ย. 2563,20.94,4.34,15.15,2.13,2563
197,งบปี 2564 31 ธ.ค. 2564,SAWAD,49966.87,22991.54,24697.86,1373.15,10230.83,-28.94,4722.14,3.44,,14.08,20.19,49.24,SAWAD-2564,30 ธ.ค. 2564,61.75,84792.16,30 ก.ย. 2564,17.42,3.60,17.15,2.91,2564
198,งบปี 2565 31 ธ.ค. 2565,SAWAD,69481.89,40477.32,25662.3,1373.15,12275.32,31.04,4476.16,3.26,,11.36,17.78,39.32,SAWAD-2565,30 ธ.ค. 2565,48.75,66941.18,30 ก.ย. 2565,15.19,2.74,17.82,3.69,2565
199,งบปี 2566 31 ธ.ค. 2566,SAWAD,111464.66,80268.03,28177.0,1373.15,18914.53,25.81,5000.8,3.64,,9.83,18.58,27.78,SAWAD-2566,28 ธ.ค. 2566,40.50,55612.67,30 ก.ย. 2566,11.24,2.06,19.62,4.44,2566
200,งบปี 2565 31 ธ.ค. 2565,SCB,3454452.34,2987840.45,461231.65,33671.07,177547.04,6996.2,37546.01,11.12,,2.02,8.14,20.91,SCB-2565,30 ธ.ค. 2565,107.00,360280.48,30 ก.ย. 2565,8.89,0.79,135.76,-,2565
201,งบปี 2566 31 ธ.ค. 2566,SCB,3438721.93,2954988.62,478082.22,33671.07,210556.79,9313.49,43521.33,12.93,,2.67,9.27,20.79,SCB-2566,28 ธ.ค. 2566,106.00,356913.37,30 ก.ย. 2566,9.00,0.77,138.51,6.31,2566
202,งบปี 2562 31 ธ.ค. 2562,SCC,634733.23,306990.1,280215.41,1200.0,446826.77,11632.06,32014.28,26.68,,7.48,11.49,7.43,SCC-2562,,,,,,,,,
203,งบปี 2563 31 ธ.ค. 2563,SCC,749380.88,353254.84,320972.18,1200.0,407217.16,9455.79,34143.87,28.45,,7.25,11.36,9.16,SCC-2563,30 ธ.ค. 2563,378.00,453600.00,30 ก.ย. 2563,13.66,1.50,252.29,3.70,2563
204,งบปี 2564 31 ธ.ค. 2564,SCC,861101.03,411092.68,365690.73,1200.0,540705.96,17542.66,47173.99,39.31,,8.74,13.74,10.12,SCC-2564,30 ธ.ค. 2564,386.00,463200.00,30 ก.ย. 2564,9.87,1.29,299.19,3.63,2564
205,งบปี 2565 31 ธ.ค. 2565,SCC,906489.79,454065.36,374254.96,1200.0,582292.21,10703.09,21382.35,17.82,,3.38,5.78,3.04,SCC-2565,30 ธ.ค. 2565,342.00,410400.00,30 ก.ย. 2565,13.90,1.04,329.61,5.41,2565
206,งบปี 2566 31 ธ.ค. 2566,SCC,893600.63,452003.99,363961.76,1200.0,528531.42,8418.82,25914.98,21.6,,4.72,7.02,4.56,SCC-2566,28 ธ.ค. 2566,306.00,367200.00,30 ก.ย. 2566,13.50,0.96,319.70,2.61,2566
207,งบปี 2563 31 ธ.ค. 2563,SCGP,172428.88,62588.1,88737.82,4292.92,93388.33,-155.82,6457.48,1.95,,6.26,9.81,7.82,SCGP-2563,30 ธ.ค. 2563,41.50,178156.19,-,28.89,-,-,-,2563
208,งบปี 2564 31 ธ.ค. 2564,SCGP,206823.74,84523.8,96837.2,4292.92,126436.89,374.43,8294.37,1.93,,6.8,8.94,7.63,SCGP-2564,30 ธ.ค. 2564,69.25,297284.72,30 ก.ย. 2564,38.79,3.12,22.19,0.65,2564
209,งบปี 2565 31 ธ.ค. 2565,SCGP,197279.65,74312.91,97200.24,4292.92,147389.57,197.83,5800.61,1.35,,4.83,5.98,4.57,SCGP-2565,30 ธ.ค. 2565,57.00,244696.45,30 ก.ย. 2565,32.77,2.40,23.72,1.14,2565
210,งบปี 2566 31 ธ.ค. 2566,SCGP,198560.67,96111.33,77322.25,4292.92,130441.11,118.26,5248.13,1.22,,4.35,6.01,4.16,SCGP-2566,28 ธ.ค. 2566,36.00,154545.13,30 ก.ย. 2566,34.50,1.99,18.11,1.67,2566
211,ไตรมาส 1/2567 31 มี.ค. 2567,SCGP,206319.51,101918.4,78829.41,4292.92,34210.34,80.17,1724.65,0.4,,4.62,6.52,5.39,SCGP-2567,13 พ.ค. 2567,31.25,134153.76,31 มี.ค. 2567,23.32,1.70,18.36,1.76,2567
212,งบปี 2562 31 ธ.ค. 2562,TISCO,298304.1,259107.98,39192.98,8006.56,24855.5,-5.3,7270.23,9.08,,4.71,18.91,29.26,TISCO-2562,,,,,,,,,
213,งบปี 2563 31 ธ.ค. 2563,TISCO,275443.21,235981.13,39458.94,8006.56,22865.95,10.66,6063.48,7.57,,3.91,15.42,26.52,TISCO-2563,30 ธ.ค. 2563,88.50,70857.14,30 ก.ย. 2563,11.26,1.87,47.26,8.76,2563
214,งบปี 2564 31 ธ.ค. 2564,TISCO,243621.93,202421.55,41197.09,8006.56,21265.45,417.33,6784.59,8.47,,4.17,16.82,31.91,TISCO-2564,30 ธ.ค. 2564,96.00,76861.98,30 ก.ย. 2564,11.60,1.95,49.22,6.56,2564
215,งบปี 2565 31 ธ.ค. 2565,TISCO,265414.44,222623.81,42787.39,8006.56,20784.02,144.7,7224.08,9.02,,4.39,17.2,34.76,TISCO-2565,30 ธ.ค. 2565,99.25,79464.08,30 ก.ย. 2565,11.02,1.94,51.24,7.20,2565
216,งบปี 2566 31 ธ.ค. 2566,TISCO,290724.25,248276.27,42444.87,8006.56,23692.47,5.09,7301.11,9.12,,4.78,17.13,30.82,TISCO-2566,28 ธ.ค. 2566,99.75,79864.40,30 ก.ย. 2566,10.90,1.97,50.55,7.77,2566
217,งบปี 2564 31 ธ.ค. 2564,TLI,533706.29,447275.06,86431.24,10600.00,109246.02,-,8393.52,0.79,,2.02,9.71,7.68,TLI-2564,,,,,,,,,
218,งบปี 2565 31 ธ.ค. 2565,TLI,556041.81,457973.64,98068.18,11450.00,107152.59,-,9265.06,0.84,,2.10,10.04,8.65,TLI-2565,30 ธ.ค. 2565,14.90,170605.00,30 ก.ย. 2565,20.77,1.90,7.83,-,2565
219,งบปี 2566 31 ธ.ค. 2566,TLI,572793.08,468213.72,104579.36,11450.00,108758.73,-,9706.66,0.85,,2.13,9.58,8.92,TLI-2566,28 ธ.ค. 2566,9.15,104767.50,30 ก.ย. 2566,11.67,1.06,8.64,3.28,2566
220,งบปี 2563 31 ธ.ค. 2563,TOP,306187.66,186069.23,116228.96,20400.28,249027.83,9789.99,-3301.41,-1.62,,0.36,-2.8,-1.16,TOP-2563,30 ธ.ค. 2563,52.00,106081.45,30 ก.ย. 2563,-,0.98,52.84,2.88,2563
221,งบปี 2564 31 ธ.ค. 2564,TOP,362144.12,239050.04,120880.74,20400.28,345985.96,-4691.91,12578.03,6.17,,5.59,10.61,3.76,TOP-2564,30 ธ.ค. 2564,49.50,100981.38,30 ก.ย. 2564,6.82,0.87,56.62,1.41,2564
222,งบปี 2565 31 ธ.ค. 2565,TOP,444580.86,285923.49,156034.3,22338.36,530451.37,751.54,32668.14,15.63,,11.38,23.59,6.24,TOP-2565,30 ธ.ค. 2565,56.25,125653.25,30 ก.ย. 2565,3.35,0.81,69.49,4.22,2565
223,งบปี 2566 31 ธ.ค. 2566,TOP,419992.7,251681.01,165567.76,22338.36,470582.84,-2553.37,19443.17,8.7,,6.56,12.09,4.16,TOP-2566,28 ธ.ค. 2566,53.75,120068.66,30 ก.ย. 2566,7.21,0.75,71.77,6.88,2566
224,ไตรมาส 1/2567 31 มี.ค. 2567,TOP,428357.04,254800.04,170773.9,22338.36,120145.58,-1105.61,5862.94,2.62,,6.87,12.54,4.91,TOP-2567,13 พ.ค. 2567,52.75,117834.83,31 มี.ค. 2567,5.68,0.69,76.45,6.45,2567
225,งบปี 2565 31 ธ.ค. 2565,TRUE,793692.29,694750.26,98517.44,138208.4,218205.37,2425.77,-5913.54,0.0,,2.32,-6.0,-2.76,TRUE-2565,,,,,,,,,
226,งบปี 2566 31 ธ.ค. 2566,TRUE,744721.85,658581.44,85779.07,138208.4,208322.51,1765.36,-15536.85,-0.42,,1.4,-16.86,-7.49,TRUE-2566,28 ธ.ค. 2566,5.05,174488.11,30 ก.ย. 2566,-,1.78,2.83,-,2566
227,ไตรมาส 1/2567 31 มี.ค. 2567,TRUE,724034.4,638575.71,85094.2,138208.4,51885.59,690.29,-769.25,-0.02,,1.97,-15.76,-1.48,TRUE-2567,13 พ.ค. 2567,8.55,295420.46,31 มี.ค. 2567,-,3.47,2.46,-,2567
228,งบปี 2563 31 ธ.ค. 2563,TTB,1808331.83,1603582.11,204712.63,91588.95,89885.61,2766.93,10112.18,0.1,,1.68,5.06,11.25,TTB-2563,30 ธ.ค. 2563,1.08,104122.17,30 ก.ย. 2563,9.92,0.51,2.10,2.98,2563
229,งบปี 2564 31 ธ.ค. 2564,TTB,1759180.73,1548345.04,210834.56,91791.73,80709.8,2007.87,10474.05,0.11,,1.46,5.04,12.98,TTB-2564,30 ธ.ค. 2564,1.47,142035.63,30 ก.ย. 2564,15.94,0.68,2.15,3.05,2564
230,งบปี 2565 31 ธ.ค. 2565,TTB,1826278.88,1607271.29,219006.44,91937.27,81535.77,1960.8,14195.19,0.15,,1.76,6.6,17.41,TTB-2565,30 ธ.ค. 2565,1.41,136454.26,30 ก.ย. 2565,10.38,0.64,2.22,2.69,2565
231,งบปี 2566 31 ธ.ค. 2566,TTB,1824433.72,1595086.59,229347.09,92246.41,94530.5,2001.93,18462.18,0.19,,2.16,8.24,19.53,TTB-2566,28 ธ.ค. 2566,1.67,162159.48,30 ก.ย. 2566,9.30,0.72,2.31,4.35,2566
232,ไตรมาส 1/2567 31 มี.ค. 2567,TTB,1807602.85,1572486.78,235116.02,92248.36,24743.25,573.83,5333.79,0.05,,2.25,8.48,21.56,TTB-2567,13 พ.ค. 2567,1.75,170269.29,31 มี.ค. 2567,8.73,0.72,2.42,5.98,2567
233,งบปี 2563 31 ธ.ค. 2563,TU,144574.67,88838.02,52185.26,1192.95,134111.99,-527.49,6246.09,1.26,,6.29,12.42,4.85,TU-2563,30 ธ.ค. 2563,13.60,64896.69,30 ก.ย. 2563,10.83,1.25,10.88,3.54,2563
234,งบปี 2564 31 ธ.ค. 2564,TU,166604.04,104390.64,59319.07,1192.95,141858.21,1712.94,8013.0,1.66,,6.9,14.37,5.83,TU-2564,30 ธ.ค. 2564,19.50,93050.40,30 ก.ย. 2564,12.04,1.59,12.23,3.69,2564
235,งบปี 2565 31 ธ.ค. 2565,TU,182569.47,94438.04,80642.28,1192.95,156560.31,-267.36,7138.0,1.47,,4.9,10.2,4.73,TU-2565,30 ธ.ค. 2565,16.90,80643.68,30 ก.ย. 2565,10.05,1.29,13.08,5.62,2565
236,งบปี 2566 31 ธ.ค. 2566,TU,165450.32,99433.08,58628.23,1163.78,137212.85,142.98,-13933.21,-3.15,,4.66,-20.01,-9.62,TU-2566,28 ธ.ค. 2566,15.00,69826.99,30 ก.ย. 2566,14.87,0.89,16.94,5.85,2566
237,ไตรมาส 1/2567 31 มี.ค. 2567,TU,162035.3,97764.43,56780.01,1163.78,33467.86,398.62,1153.07,0.24,,5.15,-20.1,4.21,TU-2567,13 พ.ค. 2567,15.20,70758.02,31 มี.ค. 2567,-,1.17,12.99,3.62,2567
238,งบปี 2563 31 ธ.ค. 2563,WHA,82621.11,50453.94,28805.19,1494.68,8197.88,1208.76,2523.75,0.17,,5.18,8.66,34.95,WHA-2563,30 ธ.ค. 2563,3.04,45438.38,30 ก.ย. 2563,20.01,1.61,1.89,4.40,2563
239,งบปี 2564 31 ธ.ค. 2564,WHA,82769.49,48739.72,30594.11,1494.68,11638.82,325.07,2590.07,0.17,,5.68,8.72,24.68,WHA-2564,30 ธ.ค. 2564,3.52,52612.86,30 ก.ย. 2564,26.19,1.82,1.93,2.85,2564
240,งบปี 2565 31 ธ.ค. 2565,WHA,86302.14,50690.33,32049.62,1494.68,14982.33,585.28,4045.87,0.27,,7.09,12.92,28.84,WHA-2565,30 ธ.ค. 2565,4.08,60983.09,30 ก.ย. 2565,18.83,2.02,2.02,2.46,2565
241,งบปี 2566 31 ธ.ค. 2566,WHA,90224.95,52902.53,33487.38,1494.68,15519.06,1495.51,4425.74,0.3,,7.87,13.51,32.54,WHA-2566,28 ธ.ค. 2566,5.30,79218.22,30 ก.ย. 2566,16.32,2.45,2.16,3.15,2566
242,ไตรมาส 1/2567 31 มี.ค. 2567,WHA,97608.5,59101.68,34526.82,1494.68,3757.38,172.53,1364.92,0.09,,8.58,15.65,40.79,WHA-2567,13 พ.ค. 2567,5.30,79218.22,31 มี.ค. 2567,15.04,2.29,2.31,3.47,2567
